machine_code,board_id
30568,1
57501,2
57502,2
57503,2
57504,2
57087,3
57088,3
57089,3
57090,3
57080,3
30334,4
52931,5
52932,5
52933,5
52934,5
53482,6
53483,6
53484,6
53485,6
53486,6
53487,6
53488,6
53489,6
53490,6
53491,6
53492,6
53493,6
53394,6
53395,6
59133,7
59134,7
59135,7
59136,7
7680,8
50228,9
50231,9
50581,10
50582,10
50583,10
50584,10
51976,10
51977,10
30329,11
29918,12
29919,12
29920,12
29921,12
29922,12
29923,12
29924,12
29925,12
29926,12
29927,12
29928,12
29929,12
29930,12
29931,12
29932,12
29933,12
29934,12
29935,12
29936,12
29937,12
30134,12
30135,12
31279,13
31407,13
31434,13
31435,13
33533,13
33534,13
39635,14
39636,14
39637,14
39638,14
39639,14
39640,14
57979,15
57980,15
57981,15
57982,15
57983,15
57984,15
54241,16
54242,16
54468,16
54469,16
56427,16
56428,16
52845,17
52846,17
52847,17
52848,17
52866,17
53054,17
53957,17
56369,17
56370,17
56371,17
56372,17
56373,17
56374,17
59775,18
59776,18
59599,19
30731,20
30733,20
47574,21
52038,22
47723,23
47724,23
59169,24
59170,24
59171,24
59172,24
57590,25
34208,26
51584,27
55173,28
59396,29
59397,29
59398,29
59399,29
55763,30
55764,30
55765,30
55766,30
55751,31
55656,32
55657,32
55615,33
52341,34
52343,34
53932,34
53933,34
52298,35
53925,35
40639,36
40640,36
40641,36
40642,36
56826,37
56827,37
56828,37
30867,38
28691,39
28698,39
30340,39
30418,39
32995,39
30336,40
30337,40
30338,40
30339,40
30335,40
58379,41
52714,42
52715,42
52716,42
52717,42
52749,42
52750,42
52761,42
54856,43
54857,43
54858,43
54859,43
54823,44
55065,45
55066,45
55067,45
55031,45
48309,46
48310,46
48311,46
48254,46
46606,47
46607,47
46534,48
57228,49
59211,49
52433,50
13438,51
22675,51
34601,52
6963,53
25659,54
30395,55
53907,56
12189,57
10746,57
17397,58
22850,58
22851,58
22852,58
55343,59
31817,60
31823,60
38909,61
38912,61
39580,61
39581,61
46648,61
38735,61
57477,2
57478,2
57479,2
57480,2
49378,60
49379,60
54211,5
54212,5
54213,5
54214,5
53578,6
53579,6
53580,6
53581,6
53582,6
53583,6
53915,6
53916,6
53917,6
53918,6
53919,6
53920,6
53408,6
53914,6
59113,7
59114,7
59115,7
59116,7
49400,8
50292,9
50293,9
50294,9
50295,9
49324,62
49327,63
49326,64
49328,65
10952,66
10951,67
7846,68
7847,69
49329,70
23559,71
23560,72
49344,73
49343,74
49348,75
49349,76
49347,77
49350,78
7099,79
7100,80
50618,10
50619,10
50620,10
39679,14
39680,14
39681,14
40039,14
40045,14
40047,14
40050,14
40069,14
40071,14
49630,15
49631,15
49632,15
49633,15
49634,15
49635,15
49636,15
49637,15
49638,15
49639,15
49640,15
49641,15
49642,15
49643,15
49644,15
49645,15
49646,15
49647,15
49648,15
49649,15
57988,15
57989,15
57990,15
57991,15
57992,15
57993,15
54361,16
54362,16
54365,16
54366,16
56437,16
56438,16
49650,81
49651,81
