machine_code,plan_id
30568,
57501,14
57502,14
57503,14
57504,14
57087,21
57088,21
57089,21
57090,21
57080,
30334,
52931,16
52932,16
52933,16
52934,16
53482,21
53483,21
53484,21
53485,21
53486,21
53487,21
53488,21
53489,21
53490,21
53491,21
53492,21
53493,21
53394,
53395,
59133,23
59134,23
59135,23
59136,23
7680,
50228,
50231,
50581,
50582,
50583,
50584,
51976,
51977,
30329,
29918,
29919,
29920,
29921,
29922,
29923,
29924,
29925,
29926,
29927,
29928,
29929,
29930,
29931,
29932,
29933,
29934,
29935,
29936,
29937,
30134,
30135,
31279,
31407,
31434,
31435,
33533,
33534,
39635,
39636,
39637,
39638,
39639,
39640,
57979,
57980,
57981,
57982,
57983,
57984,
54241,
54242,
54468,
54469,
56427,
56428,
52845,
52846,
52847,
52848,
52866,
53054,
53957,
56369,
56370,
56371,
56372,
56373,
56374,
59775,
59776,
59599,
30731,
30733,
47574,
52038,
47723,
47724,
59169,
59170,
59171,
59172,
57590,
34208,
51584,21
55173,
59396,23
59397,23
59398,23
59399,23
55763,5
55764,5
55765,5
55766,5
55751,
55656,22
55657,22
55615,
52341,9
52343,9
53932,9
53933,9
52298,
53925,
40639,9
40640,9
40641,9
40642,9
56826,
56827,
56828,
30867,
28691,
28698,
30340,
30418,
32995,
30336,
30337,
30338,
30339,
30335,
58379,
52714,13
52715,13
52716,13
52717,13
52749,13
52750,13
52761,
54856,9
54857,9
54858,9
54859,9
54823,
55065,21
55066,21
55067,21
55031,
48309,20
48310,20
48311,20
48254,
46606,13
46607,13
46534,
57228,
59211,
52433,
13438,
22675,
34601,
6963,
25659,
30395,
53907,
12189,
10746,
17397,
22850,
22851,
22852,
55343,
31817,
31823,
38909,
38912,
39580,
39581,
46648,
38735,
57477,18
57478,18
57479,18
57480,18
49378,
49379,
54211,16
54212,16
54213,16
54214,16
53578,21
53579,21
53580,21
53581,21
53582,21
53583,21
53915,21
53916,21
53917,21
53918,21
53919,21
53920,21
53408,
53914,
59113,21
59114,21
59115,21
59116,21
49400,
50292,
50293,
50294,
50295,
49324,
49327,
49326,
49328,
10952,
10951,
7846,
7847,
49329,
23559,
23560,
49344,
49343,
49348,
49349,
49347,
49350,
7099,
7100,
50618,
50619,
50620,
39679,
39680,
39681,
40039,
40045,
40047,
40050,
40069,
40071,
49630,
49631,
49632,
49633,
49634,
49635,
49636,
49637,
49638,
49639,
49640,
49641,
49642,
49643,
49644,
49645,
49646,
49647,
49648,
49649,
57988,
57989,
57990,
57991,
57992,
57993,
54361,
54362,
54365,
54366,
56437,
56438,
49650,
49651,
49652,
49653,
49654,
50806,
50807,
52871,
52872,
56407,
56408,
56415,
56416,
56417,
56418,
59602,
49493,
49494,
47598,
47599,
52054,
59207,
59208,
57601,
59438,23
59439,23
55646,10
55647,10
55630,
52396,9
52397,9
52314,
40643,9
40644,9
56859,
56860,
28697,
36581,
49470,
49048,
48988,11
49070,11
48987,11
49071,11
49506,
49507,
49508,
49509,
49510,
49511,
49512,
26458,
37536,
50928,
54067,
50917,
49413,
49341,
46786,
58984,
51879,
49537,
49538,
54026,
58392,
49530,
49531,
50359,
56507,
49459,
49460,
49461,
52752,13
52753,13
52754,13
52755,13
52773,
54888,9
54889,9
54890,9
54891,9
54830,
50386,13
50387,13
50383,
48637,22
48638,22
48639,22
48640,22
48603,22
49317,
57241,
52445,
49319,
52164,
52165,
49320,
49316,
49415,
49416,
49417,
49406,
49732,
49418,
49419,
49424,
49425,
49422,
49423,
49407,
49429,
56473,
49440,
49441,
49405,
49412,
49446,
49404,
49410,
49453,
49454,
49457,
49411,
49430,
49431,
49432,
49433,
49434,
49435,
49436,
49437,
29324,12
29325,12
29326,12
56657,12
56658,12
56659,12
49444,
54099,
49450,
49451,
56542,
29584,
29586,
49532,
51102,
51623,
56002,
49293,
49294,
49295,
49296,
49297,
31818,
31824,
48422,
48425,
38883,
38884,
46430,
46431,
46791,
46429,
57537,14
57538,14
57539,14
57540,14
25816,
25817,
46793,
46792,
45363,2
45379,2
45421,2
47464,
46114,21
46115,21
57281,18
57282,18
57283,18
57284,18
57289,
57302,
57303,
57304,
53590,21
53591,21
53592,21
53593,21
53594,21
53595,21
53596,21
53597,21
53598,21
53599,21
53600,21
53601,21
53602,21
53603,21
53604,21
53605,21
53410,
53411,
39960,
47177,
47179,
59149,23
59150,23
59151,23
59152,23
46858,
50288,
50289,
50290,
50291,
46853,
46855,
46949,
46944,
46942,
46935,
46946,
46940,
46888,
46925,
46932,
46923,
46941,
46920,
46922,
46910,
46903,
46900,
46947,
46924,
46948,
46933,
46928,
46936,
46915,
46934,
46885,
46876,
46913,
46881,
46882,
46917,
46891,
46899,
46897,
46926,
46893,
46914,
46889,
46908,
46916,
46904,
46890,
46905,
46895,
46896,
55807,
50614,
50615,
50616,
50617,
39641,
39642,
39644,
40072,
40073,
46685,
46686,
46687,
46688,
46689,
46690,
46691,
46692,
46693,
46694,
46695,
46696,
46697,
46698,
46699,
46700,
46701,
46702,
46703,
46704,
46705,
46706,
46707,
46708,
46709,
47415,
47416,
47417,
47418,
47419,
47420,
47421,
47422,
47423,
47424,
47425,
47426,
47427,
47428,
47429,
47430,
47431,
47432,
47433,
47434,
47435,
47436,
47437,
47438,
47439,
47440,
47441,
47442,
47443,
47444,
57582,
57583,
57584,
57585,
57586,
57985,
57986,
57987,
54253,
54254,
54255,
54256,
54355,
54356,
56435,
56436,
49683,
49684,
49685,
49686,
49687,
50801,
50802,
50803,
50804,
50805,
52073,
52074,
52075,
52843,
52869,
52870,
53041,
53042,
53055,
53056,
53948,
53949,
53951,
53959,
53961,
53962,
56411,
56412,
56413,
56414,
59600,
59601,
46750,
46751,
46754,
46755,
47258,
47616,
52052,
52053,
35674,
59201,
59202,
59203,
59204,
59205,
59206,
57600,
46771,
46772,
51598,21
55185,
46797,
59434,23
59435,23
59436,23
59437,23
55996,5
55997,5
55995,
46782,
55671,22
55672,22
55629,
52390,9
52391,9
52392,9
52394,9
52395,9
53936,9
52312,
52313,
46780,
49144,9
49145,9
51027,9
46432,9
46433,9
46779,
56852,
56856,
56857,
56858,
46796,
32663,
46839,
46840,
46841,
46842,
46843,
46774,
47198,
47199,
47200,
47202,
47204,
40163,9
46813,
46814,
46815,
46816,
46822,
53877,
58295,
56700,
49756,
51616,
58582,
50647,
55244,
58823,
49050,
49015,11
49074,11
49016,11
49075,11
32659,
32660,
50710,4
46859,
46860,
46861,
46862,
46863,
47229,
46756,
47160,
47159,
47105,
47111,
47112,
47113,
47114,
47115,
47116,
47117,
47118,
47119,
47120,
47156,
51008,
47157,
47195,
55233,
57580,
47558,
47191,
47192,
47193,
47194,
50927,
46898,
54066,
56101,
50916,
50915,
52008,
51609,
39438,
39439,
39442,
39443,
46789,
50717,
47109,
47771,
53014,
53015,
