code,name,serial,system_id,price,area,note
30568,ＡＬＬ．ＮＥＴＰ－ｒａｓＭＬＵＴＩ（ハブ＆ルーター）,,,,0,
57501,クイズマジックアカデミー（ＨＧ筐体）,TMAQJB007309,'01201000000001ECC6A2,1097800,69.42,
57502,クイズマジックアカデミー（ＨＧ筐体）,TMAQJB007409,'01201000000001ECEDEC,1097800,69.42,
57503,クイズマジックアカデミー（ＨＧ筐体）,TMAQJB007509,'01201000000001ED3198,1097800,69.42,
57504,クイズマジックアカデミー（ＨＧ筐体）,TMAQJB007609,'01201000000001ED8543,1097800,69.42,
57087,ジョジョの奇妙な冒険ラストサバイバー,ABLN3030525,,1672000,1.53,
57088,ジョジョの奇妙な冒険ラストサバイバー,ABLN3030526,,1672000,1.53,
57089,ジョジョの奇妙な冒険ラストサバイバー,ABLN3030527,,1672000,1.53,
57090,ジョジョの奇妙な冒険ラストサバイバー,ABLN3030528,,1672000,1.53,
57080,ジョジョの奇妙な冒険ラストサバイバー（ルーター）,,,32780,0,
30334,ネシカクロスライブ（本体）,,,,0,
52931,ボンバーガール,QBCQJB007908,'01201000000001CCD601,,1.5,
52932,ボンバーガール,QBCQJB007708,'01201000000001CD0608,,1.5,
52933,ボンバーガール,QBCQJB007808,'01201000000001CD018D,,1.5,
52934,ボンバーガール,QBCQJB007608,'01201000000001CD03E3,,1.5,
53482,機動戦士ＥＸＶＳ２（グリージョ筐体）,ABLN3116015,,,1.3,
53483,機動戦士ＥＸＶＳ２（グリージョ筐体）,ABLN3116016,,,1.3,
53484,機動戦士ＥＸＶＳ２（グリージョ筐体）,ABLN3116017,,,1.3,
53485,機動戦士ＥＸＶＳ２（グリージョ筐体）,ABLN3116018,,,1.3,
53486,機動戦士ＥＸＶＳ２（グリージョ筐体）,ABLN3114792,,,1.3,
53487,機動戦士ＥＸＶＳ２（グリージョ筐体）,ABLN3114791,,,1.3,
53488,機動戦士ＥＸＶＳ２（グリージョ筐体）,ABLN3115396,,,1.3,
53489,機動戦士ＥＸＶＳ２（グリージョ筐体）,ABLN3115395,,,1.3,
53490,機動戦士ＥＸＶＳ２（グリージョ筐体）,ABLN3116014,,,1.3,
53491,機動戦士ＥＸＶＳ２（グリージョ筐体）,ABLN3116013,,,1.3,
53492,機動戦士ＥＸＶＳ２（グリージョ筐体）,ABLN3115391,,,1.3,
